x	y	time
-97.33565581422299	57.44514698873274	1570702472.039647
-97.50720089692622	57.31305612274911	1570702473.0392492
-97.62536503579467	57.138935053958555	1570702474.040336
-97.74786100368947	56.94989059749525	1570702475.0399811
-97.84710527136922	56.74409884436056	1570702476.039582
-97.9119224075228	56.56778520602267	1570702477.040057
-98.03718792945146	56.3617108900845	1570702478.0403476
-98.16036292556673	56.17371703521814	1570702479.0399077
-98.29727687053382	55.98137232207693	1570702480.0399256
-98.4431041052565	55.794889924935994	1570702481.039725
-98.58787558712065	55.58771082107443	1570702482.0400465
-98.73109763227403	55.388948504934085	1570702483.0400884
-98.87530985865742	55.19068094797432	1570702484.0402236
-99.01738056465983	54.993392808134665	1570702485.0408823
-99.2389316746965	54.77518644195981	1570702486.0543172
-99.54487492069602	54.52538104937877	1570702487.0390081
-99.75504278317094	54.42414273194037	1570702488.0394137
