dt(GPS)	frame	 LO(m)	 AO(rad)
19.0000	160	0.0141	-0.1026
19.0000	161	0.0142	-0.1045
19.0000	162	0.0139	-0.1013
19.0000	163	0.0137	-0.1021
19.9997	164	0.0137	-0.1025
19.9997	165	0.0146	-0.1012
19.9997	166	0.0185	-0.1015
19.9997	167	0.0189	-0.1015
19.9997	168	0.0205	-0.1023
19.9997	169	0.0209	-0.1043
21.0005	170	0.0197	-0.1048
21.0005	171	0.0196	-0.1052
21.0005	172	0.0189	-0.1052
21.0005	173	0.0156	-0.1074
21.0005	174	0.0159	-0.1082
21.0005	175	0.0147	-0.1051
21.9998	176	0.0006	-0.1007
21.9998	177	0.0000	-0.1000
21.9998	178	0.0010	-0.0999
21.9998	179	0.0022	-0.1010
21.9998	180	0.0021	-0.1030
21.9998	181	0.0025	-0.1036
22.9999	182	0.0128	-0.1047
22.9999	183	0.0133	-0.1053
22.9999	184	0.0135	-0.1068
22.9999	185	0.0134	-0.1078
22.9999	186	0.0113	-0.1096
22.9999	187	0.0096	-0.1103
24.0003	188	0.0288	-0.1114
24.0003	189	0.0294	-0.1127
24.0003	190	0.0290	-0.1136
24.0003	191	0.0289	-0.1161
24.0003	192	0.0294	-0.1178
24.0003	193	0.0290	-0.1199
25.0000	194	0.0473	-0.1207
25.0000	195	0.0474	-0.1209
25.0000	196	0.0476	-0.1178
25.0000	197	0.0490	-0.1160
25.0000	198	0.0511	-0.1142
25.0000	199	0.0503	-0.1036
25.9999	200	0.0279	-0.0905
25.9999	201	0.0288	-0.0817
25.9999	202	0.0305	-0.0814
25.9999	203	0.0316	-0.0808
25.9999	204	0.0325	-0.0837
25.9999	205	0.0309	-0.0855
26.9999	206	0.0225	-0.0858
26.9999	207	0.0221	-0.0870
26.9999	208	0.0214	-0.0879
26.9999	209	0.0216	-0.0893
26.9999	210	0.0215	-0.0888
26.9999	211	0.0232	-0.0896
28.0001	212	0.0195	-0.0923
28.0001	213	0.0200	-0.0928
